"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"0500000US01001","Autauga County, Alabama","25415","889","579","221","2398","465","3324","576","2622","374","3969","558","2051","370","5211","763","860","211","594","147","2002","435","961","348","844","430",
"0500000US01003","Baldwin County, Alabama","97455","1981","2160","803","10387","1198","12128","1166","14874","1392","13461","1191","6333","800","14182","1363","2633","526","3729","623","9885","1021","5986","862","1697","470",
"0500000US01005","Barbour County, Alabama","7989","437","464","140","1128","244","1488","245","1016","236","626","170","314","121","1016","214","237","109","185","80","582","169","742","190","191","87",
"0500000US01007","Bibb County, Alabama","7999","491","236","142","529","181","764","236","1049","249","560","167","565","184","823","215","506","174","691","229","1542","387","616","192","118","68",
"0500000US01009","Blount County, Alabama","23976","791","715","214","1533","373","1910","459","2137","342","2002","324","957","226","3463","521","1062","214","1094","257","5005","573","3555","548","543","162",
"0500000US01011","Bullock County, Alabama","3524","425","124","78","380","181","522","176","316","164","582","252","77","74","498","198","49","47","152","83","549","266","185","139","90","69",
"0500000US01013","Butler County, Alabama","7011","385","401","143","1368","255","1018","188","818","193","724","177","218","85","845","167","124","68","131","66","669","163","446","125","249","116",
"0500000US01015","Calhoun County, Alabama","46384","947","1630","357","5270","703","6127","638","9401","895","6351","563","2925","424","5835","767","1143","275","1052","279","2973","465","2499","499","1178","303",
"0500000US01017","Chambers County, Alabama","13621","565","461","140","1636","389","2398","432","2160","403","1375","277","1045","304","1967","377","303","107","549","201","907","284","588","216","232","120",
"0500000US01019","Cherokee County, Alabama","9788","513","247","116","962","198","1188","227","1442","242","799","189","615","164","1016","202","740","298","454","182","1311","257","630","202","384","179",
"0500000US01021","Chilton County, Alabama","17495","757","602","206","1282","316","1921","408","1983","394","1955","383","965","251","2012","397","979","352","689","217","2621","444","2137","464","349","154",
"0500000US01023","Choctaw County, Alabama","4367","287","243","120","378","150","376","146","301","101","426","164","243","116","521","135","86","53","438","139","414","144","661","144","280","111",
"0500000US01025","Clarke County, Alabama","7643","451","586","153","1121","220","830","177","1309","281","775","228","321","123","964","193","229","112","132","85","647","194","569","191","160","108",
"0500000US01027","Clay County, Alabama","5213","310","340","161","797","196","634","180","729","216","601","178","200","88","492","193","100","71","303","141","561","176","195","98","261","143",
"0500000US01029","Cleburne County, Alabama","5767","354","140","76","338","121","299","123","526","156","849","237","346","119","1230","282","211","91","242","114","536","140","639","212","411","150",
"0500000US01031","Coffee County, Alabama","22139","673","570","181","2353","372","4520","672","3383","424","3040","359","1481","290","2836","371","796","206","814","210","1305","180","773","206","268","84",
"0500000US01033","Colbert County, Alabama","23845","753","703","303","2473","472","3824","531","5614","655","3893","485","1442","337","2191","365","436","192","557","181","1116","222","1163","313","433","139",
"0500000US01035","Conecuh County, Alabama","3121","262","125","73","317","136","444","167","361","124","466","150","103","59","521","108","62","41","107","77","297","139","115","79","203","97",
"0500000US01037","Coosa County, Alabama","3510","237","121","60","157","86","330","119","526","154","637","199","269","131","504","202","32","30","79","46","301","90","385","164","169","68",
"0500000US01039","Covington County, Alabama","14593","547","611","144","2029","339","2655","353","2157","275","2254","335","476","138","1718","345","207","83","412","150","670","182","709","174","695","197",
"0500000US01041","Crenshaw County, Alabama","4884","299","227","78","506","135","556","148","821","173","414","145","88","48","594","135","266","102","199","84","595","144","346","118","272","121",
"0500000US01043","Cullman County, Alabama","37814","1024","1727","441","4590","558","5156","668","5823","873","5000","593","2042","388","3531","404","506","171","780","170","3349","569","4441","632","869","210",
"0500000US01045","Dale County, Alabama","18762","617","757","162","2116","275","3170","379","3726","402","2258","280","1096","230","2512","391","696","227","418","125","1101","233","506","160","406","156",
"0500000US01047","Dallas County, Alabama","12977","766","371","138","1239","257","1847","355","2738","438","1810","292","888","233","1139","257","382","162","332","191","625","209","1336","282","270","116",
"0500000US01049","DeKalb County, Alabama","28974","861","1562","350","3359","649","3740","548","4879","534","4128","452","2163","401","3428","451","969","291","645","222","1920","419","1176","263","1005","283",
"0500000US01051","Elmore County, Alabama","36248","1115","785","291","2625","445","2517","483","4459","640","5087","624","3574","512","7376","702","2404","517","1896","458","3827","618","1188","317","510","162",
"0500000US01053","Escambia County, Alabama","12439","721","480","186","1524","279","2786","413","2271","423","1546","389","244","162","1235","234","190","95","457","247","914","248","608","206","184","84",
"0500000US01055","Etowah County, Alabama","40923","1278","876","259","3807","557","6922","738","7688","695","6051","686","2642","413","5027","832","1002","254","927","323","2857","487","2178","381","946","253",
"0500000US01057","Fayette County, Alabama","5935","330","149","82","714","199","1056","245","707","177","417","148","394","174","651","154","95","58","188","165","570","198","725","185","269","89",
"0500000US01059","Franklin County, Alabama","13107","640","415","177","1485","314","2191","426","1848","461","1669","337","615","199","1663","381","334","164","520","173","1385","345","634","204","348","166",
"0500000US01061","Geneva County, Alabama","10483","538","577","243","1154","277","1186","355","1257","288","1454","265","576","154","1963","262","537","173","372","149","596","169","462","143","349","119",
"0500000US01063","Greene County, Alabama","2128","311","217","123","424","180","43","35","250","97","73","40","64","54","168","97","91","86","139","85","243","106","387","191","29","35",
"0500000US01065","Hale County, Alabama","5283","409","212","130","211","87","537","221","588","234","620","195","278","107","824","299","227","138","138","74","737","226","704","256","207","118",
"0500000US01067","Henry County, Alabama","6977","365","259","122","569","180","619","169","985","216","1154","241","567","183","1056","216","318","123","189","84","773","187","350","115","138","87",
"0500000US01069","Houston County, Alabama","44196","724","1168","188","5528","428","7208","400","9826","525","6988","424","2530","282","4843","397","721","121","857","165","2300","282","1069","160","1158","192",
"0500000US01071","Jackson County, Alabama","19827","827","664","217","2443","418","2466","407","2431","432","2295","405","1437","238","2277","410","686","147","769","172","2235","304","1579","317","545","181",
"0500000US01073","Jefferson County, Alabama","274784","3484","5678","780","18527","1218","35070","1583","46721","1973","54551","2361","23150","1169","46324","2379","8979","944","7216","725","16052","1204","7525","859","4991","831",
"0500000US01075","Lamar County, Alabama","4766","310","166","78","742","215","623","167","504","165","736","229","251","145","684","172","162","77","144","64","422","114","211","88","121","94",
"0500000US01077","Lauderdale County, Alabama","39941","1239","1068","301","4785","640","5813","700","7057","824","4960","571","2630","439","4073","518","930","358","1042","278","2258","426","4019","757","1306","346",
"0500000US01079","Lawrence County, Alabama","13852","665","162","74","621","200","1632","374","1536","284","1688","332","801","216","3310","416","702","212","588","222","1658","323","846","235","308","137",
"0500000US01081","Lee County, Alabama","74964","1823","1532","325","9131","848","13546","1059","14620","1102","11457","1011","4741","662","8682","1163","1665","330","1779","367","4346","565","2060","350","1405","355",
"0500000US01083","Limestone County, Alabama","44528","1130","1180","406","3402","595","4523","650","5716","798","7043","922","3566","551","7993","883","2477","480","2259","368","3989","494","1662","422","718","257",
"0500000US01085","Lowndes County, Alabama","3421","249","236","106","171","88","127","67","476","155","186","85","134","55","672","142","360","155","142","75","639","135","186","75","92","78",
"0500000US01087","Macon County, Alabama","6700","356","246","108","896","176","919","216","741","176","1328","201","319","117","1086","228","122","55","275","91","471","138","193","80","104","83",
"0500000US01089","Madison County, Alabama","169197","2341","3660","677","14928","1309","23462","1356","32176","1769","33755","1676","15678","1280","25584","1493","5182","547","3946","509","6459","838","2495","383","1872","488",
"0500000US01091","Marengo County, Alabama","7012","543","498","185","1098","255","1082","314","505","143","847","226","306","153","930","247","104","74","163","130","536","246","755","283","188","107",
"0500000US01093","Marion County, Alabama","10495","675","670","193","1539","273","1550","328","1852","282","1098","266","491","148","930","225","337","185","233","132","565","196","685","233","545","220",
"0500000US01095","Marshall County, Alabama","38826","927","1442","288","5790","658","7364","658","4949","618","4026","501","1871","298","3431","510","1047","244","1523","295","3408","415","2871","411","1104","260",
"0500000US01097","Mobile County, Alabama","162900","2216","2847","443","11211","899","17336","1143","29405","1434","30737","1754","11985","1005","28015","1281","4772","609","5300","690","11464","850","6286","910","3542","578",
"0500000US01099","Monroe County, Alabama","6129","425","211","82","1015","276","1165","258","731","226","749","204","283","117","767","191","103","61","175","95","319","100","357","133","254","122",
"0500000US01101","Montgomery County, Alabama","90661","1883","1705","379","8050","809","15089","1123","22259","1416","17717","1250","5998","627","9388","895","2126","485","1732","390","3589","538","1327","301","1681","425",
"0500000US01103","Morgan County, Alabama","50945","1256","1357","306","5645","698","7603","699","7380","739","6877","675","3577","518","7187","761","2289","458","1975","377","5010","612","1458","319","587","188",
"0500000US01105","Perry County, Alabama","1931","267","222","165","110","103","370","178","157","99","252","167","30","40","367","139","0","19","37","50","250","155","98","95","38","39",
"0500000US01107","Pickens County, Alabama","6282","389","189","89","595","165","433","109","598","133","519","129","222","112","818","176","321","135","528","154","1119","245","673","183","267","118",
